nome,instagram,tiktok,conteúdo,CEP,qual a sua principal dor como criador?,você pagaria por um serviço que RESOLVESSE seus problemas como criador?,qual valor mensal parece justo para acesso completo?,o que você gostaria que este serviço oferecesse?,email,telefone
Juliana Souza,@user53,@user53,Gaming,64535218,Falta de estrutura e organização,Sim,29,Conselhos para a minha área de atuação,sophiemonteiro@da.net,5521924329
Luna Rezende,@user54,@user54,Youtube,99552-717,Falta de visibilidade,Não,29,Ferramentas para monetização,yasmin49@gmail.com,5561981477
Breno Carvalho,@user55,@user55,Youtube,79807-935,Falta de estrutura e organização,Não,29,Facilidade para comunicação,cauaporto@gmail.com,5561918203
Mariana da Cruz,@user56,@user56,Educação,54665-905,Falta de visibilidade,Sim,19,Templates e ideias de conteúdo,diogo86@fernandes.com,5561919254
Srta. Gabriela Nascimento,@user57,@user57,Moda,28168-505,Falta de clareza na carreira,Sim,79,Conselhos para a minha área de atuação,kevinmendes@uol.com.br,5541932214
Dra. Alícia Mendes,@user58,@user58,Youtube,96222927,Pouco engajamento,Não,49,Conselhos para a minha área de atuação,rmoreira@pires.br,5541983473
Stella Gomes,@user59,@user59,Educação,88623-924,Falta de clareza na carreira,Sim,49,Facilidade para comunicação,jmoura@silveira.org,5521924782
Isabel Araújo,@user60,@user60,Educação,06853-615,Falta de estrutura e organização,Não,39,Ferramentas para monetização,lopeseduardo@da.com,5511947277
Fernando da Rosa,@user61,@user61,Gaming,89861434,Dificuldade de produzir conteúdo regularmente,Não,29,Conselhos para a minha área de atuação,duarteana-beatriz@campos.com,5581998089
Agatha Moraes,@user62,@user62,Conselhos,96218518,Dificuldade de monetizar,Sim,59,Templates e ideias de conteúdo,cribeiro@moura.org,5511951531
João Gabriel Viana,@user63,@user63,Moda,27722-170,Falta de clareza na carreira,Não,19,Facilidade para comunicação,bryanda-paz@gmail.com,5561948687
João Gabriel Barros,@user64,@user64,Moda,41566-765,Pouco engajamento,Sim,19,Suporte de especialistas,xsales@cardoso.br,5521969284
Dr. Henrique Porto,@user65,@user65,Vendas,27570-596,Dificuldade de monetizar,Sim,59,Facilidade para comunicação,cardosomaria-clara@ig.com.br,5571958202
Bernardo Duarte,@user66,@user66,Gaming,56909-275,Dificuldade de monetizar,Não,19,Suporte de especialistas,kcardoso@hotmail.com,5584956543
Manuela Nogueira,@user67,@user67,Youtube,44739473,Falta de visibilidade,Sim,59,Facilidade para comunicação,daniloporto@pires.br,5561918844
Clarice Costa,@user68,@user68,Educação,23705895,Dificuldade de produzir conteúdo regularmente,Não,39,Conselhos para a minha área de atuação,larissacarvalho@gmail.com,5551967866
Sr. Levi Rezende,@user69,@user69,Gaming,28922-680,Dificuldade de produzir conteúdo regularmente,Não,29,Algo para organizar a rotina,otavioda-cunha@martins.org,5521943842
Luiz Fernando da Cunha,@user70,@user70,Educação,29959001,Dificuldade de monetizar,Não,49,Algo para organizar a rotina,maite39@araujo.br,5584944736
Srta. Bruna Pires,@user71,@user71,Vendas,77359-255,Falta de clareza na carreira,Não,59,Suporte de especialistas,wcostela@yahoo.com.br,5584981537
Danilo Castro,@user72,@user72,Vendas,46963259,Falta de clareza na carreira,Sim,59,Algo para organizar a rotina,sarahda-cruz@uol.com.br,5584977470
Eduarda da Rosa,@user73,@user73,Youtube,00479-748,Falta de estrutura e organização,Sim,29,Algo para organizar a rotina,pintogabriel@moreira.br,5561906098
Breno Nogueira,@user74,@user74,Conselhos,84991-216,Dificuldade de monetizar,Não,79,Suporte de especialistas,giovanna52@hotmail.com,5584968000
Laís da Costa,@user75,@user75,Gaming,59526949,Falta de estrutura e organização,Sim,69,Suporte de especialistas,ejesus@gmail.com,5561951694
Pietro Dias,@user76,@user76,Conselhos,97289623,Dificuldade de produzir conteúdo regularmente,Sim,29,Algo para organizar a rotina,da-motaarthur@lopes.br,5531963689
Cecília Martins,@user77,@user77,Vendas,86527-858,Falta de clareza na carreira,Sim,39,Algo para organizar a rotina,larissa73@hotmail.com,5551984344
Isabel Freitas,@user78,@user78,Moda,19866-524,Dificuldade de monetizar,Não,29,Templates e ideias de conteúdo,maysa15@fernandes.br,5541938484
Dra. Eduarda Farias,@user79,@user79,Gaming,83301657,Falta de estrutura e organização,Não,39,Facilidade para comunicação,andrevieira@oliveira.net,5551954019
Kaique da Luz,@user80,@user80,Vendas,67240049,Dificuldade de produzir conteúdo regularmente,Não,79,Algo para organizar a rotina,miguel78@cunha.br,5551931527
Sra. Vitória Gonçalves,@user81,@user81,Vendas,29668516,Falta de clareza na carreira,Não,79,Conselhos para a minha área de atuação,guilhermerocha@farias.com,5551963745
Francisco Moreira,@user82,@user82,Gaming,01742684,Falta de estrutura e organização,Sim,69,Ferramentas para monetização,vicente93@cunha.br,5561968783
Lavínia Souza,@user83,@user83,Moda,19108-839,Dificuldade de produzir conteúdo regularmente,Não,59,Facilidade para comunicação,pietrosilveira@correia.net,5581918707
Maria Fernanda Caldeira,@user84,@user84,Vendas,40640-391,Falta de clareza na carreira,Sim,59,Facilidade para comunicação,smonteiro@viana.com,5581904622
Isis Nascimento,@user85,@user85,Conselhos,82512868,Falta de visibilidade,Sim,49,Conselhos para a minha área de atuação,alexandrearagao@rezende.br,5584963375
Srta. Alícia Peixoto,@user86,@user86,Vendas,33119079,Falta de estrutura e organização,Não,79,Facilidade para comunicação,oliviabarbosa@pires.net,5584930284
Maria Vitória Martins,@user87,@user87,Conselhos,42836440,Dificuldade de monetizar,Sim,69,Facilidade para comunicação,dsales@nascimento.br,5571962462
Heitor da Conceição,@user88,@user88,Conselhos,08668-826,Falta de visibilidade,Não,59,Templates e ideias de conteúdo,juan51@moura.com,5584930469
Vitor Hugo da Rosa,@user89,@user89,Youtube,35403-317,Dificuldade de monetizar,Sim,79,Conselhos para a minha área de atuação,agathaduarte@gomes.br,5581985445
Thiago Ribeiro,@user90,@user90,Educação,35560-932,Falta de clareza na carreira,Sim,69,Algo para organizar a rotina,gabrielly99@goncalves.com,5541953693
Vitor Hugo Rodrigues,@user91,@user91,Educação,72522-872,Dificuldade de produzir conteúdo regularmente,Sim,39,Conselhos para a minha área de atuação,cardosomaria-clara@almeida.com,5541912038
Maysa Rocha,@user92,@user92,Gaming,00886-008,Falta de clareza na carreira,Não,79,Facilidade para comunicação,arthur86@hotmail.com,5521918233
Dr. João Vitor Cardoso,@user93,@user93,Educação,67933-410,Dificuldade de monetizar,Sim,79,Ferramentas para monetização,ynascimento@caldeira.com,5531917659
Enrico Ribeiro,@user94,@user94,Conselhos,01489-025,Falta de estrutura e organização,Sim,29,Facilidade para comunicação,joanada-conceicao@cardoso.org,5531993968
Dra. Ana Júlia Santos,@user95,@user95,Gaming,01631-599,Dificuldade de monetizar,Não,39,Algo para organizar a rotina,benicio47@uol.com.br,5541958662
Evelyn Farias,@user96,@user96,Vendas,14262655,Falta de estrutura e organização,Não,69,Suporte de especialistas,almeidapaulo@moreira.org,5521921267
Ana Lívia Araújo,@user97,@user97,Educação,58199560,Dificuldade de produzir conteúdo regularmente,Não,19,Facilidade para comunicação,xnogueira@gmail.com,5584939826
Gabriel Sales,@user98,@user98,Conselhos,12646471,Dificuldade de monetizar,Não,19,Facilidade para comunicação,luiz-felipe79@bol.com.br,5541971240
Yasmin Melo,@user99,@user99,Moda,56924-593,Pouco engajamento,Não,69,Algo para organizar a rotina,joao-gabriel65@yahoo.com.br,5581993564
Catarina Viana,@user100,@user100,Educação,80737416,Falta de visibilidade,Sim,49,Suporte de especialistas,luanajesus@hotmail.com,5551926617
